[debug] elbow QVEL: 1464.2285599337408, Shoulder QVEL: -1455.9550462067543
[debug] elbow QVEL: 1440.6493457038116, Shoulder QVEL: -1556.063029039949
[debug] elbow QVEL: 1407.1341372750421, Shoulder QVEL: -1661.4279876274286
[debug] elbow QVEL: 1362.9951457395239, Shoulder QVEL: -1766.1992376469436
[debug] elbow QVEL: 1308.2884579919962, Shoulder QVEL: -1863.3553020897473
[debug] elbow QVEL: 1244.6298111495491, Shoulder QVEL: -1946.025316919236
[debug] elbow QVEL: 1065.890117960467, Shoulder QVEL: -2069.6954747299355
[debug] elbow QVEL: 1020.2384089972312, Shoulder QVEL: -2094.5775268637362
[debug] elbow QVEL: 1045.091589156042, Shoulder QVEL: -2080.552939574796
[debug] elbow QVEL: 1137.2217130771994, Shoulder QVEL: -2029.5019837019865
[debug] elbow QVEL: 1283.40471526164, Shoulder QVEL: -1949.5234645400558
[debug] elbow QVEL: 1459.8600091663352, Shoulder QVEL: -1856.3418134695146
[debug] elbow QVEL: 1637.345059166122, Shoulder QVEL: -1770.8842632812996
[debug] elbow QVEL: 1791.464901370755, Shoulder QVEL: -1712.4748195855072
[debug] elbow QVEL: 1909.8528902315084, Shoulder QVEL: -1693.0861101931785
[debug] elbow QVEL: 1990.7193968965705, Shoulder QVEL: -1717.3465090605769
[debug] elbow QVEL: 2037.1524638508508, Shoulder QVEL: -1785.6719406286256
[debug] elbow QVEL: 2052.496424305378, Shoulder QVEL: -1896.524883600017
[debug] elbow QVEL: 2225.19024882012, Shoulder QVEL: -1954.3833573937816
[debug] elbow QVEL: 2401.283439029258, Shoulder QVEL: -1895.1806006556194
[debug] elbow QVEL: 2529.557715880602, Shoulder QVEL: -1901.7125336686456
[debug] elbow QVEL: 2605.8373125848325, Shoulder QVEL: -1984.4807549155234
[debug] elbow QVEL: 2636.6894297595572, Shoulder QVEL: -2144.910547696258
[debug] elbow QVEL: 2626.504644130157, Shoulder QVEL: -2380.86538252143
[debug] elbow QVEL: 2573.792046865685, Shoulder QVEL: -2681.6208704599094
[debug] elbow QVEL: 2472.2494432969697, Shoulder QVEL: -3016.2766034775877
